AwayAerialswon,AwayBallpossession,AwayDuelswon,AwayFouls,AwayInterceptions,AwayPossessionlost,AwayTackles,AwayTeam,Date,HomeAerialswon,HomeBallpossession,HomeDuelswon,HomeFouls,HomeInterceptions,HomePossessionlost,HomeTackles,HomeTeam,Round
10,60%,53,8,16,140,20,Betis,23/11/20,16,40%,55,16,12,135,22,Athletic Club,Round 10
12,49%,59,12,11,113,19,Celta,6/11/2020,12,51%,47,18,13,140,11,Elche,Round 9
15,41%,41,30,16,146,11,Eibar,7/11/2020,22,59%,67,16,10,159,11,Huesca,Round 9
7,40%,35,10,11,109,13,Betis,7/11/2020,5,60%,31,8,12,105,8,Barcelona,Round 9
26,33%,56,19,11,124,12,Osasuna,7/11/2020,26,67%,73,11,4,134,11,Sevilla,Round 9
10,32%,49,9,12,129,19,Cádiz,7/11/2020,18,68%,47,10,17,106,12,Atl. Madrid,Round 9
21,56%,75,11,9,154,24,Villarreal,8/11/2020,24,44%,53,18,9,161,15,Getafe,Round 9
13,27%,31,11,12,119,6,Granada,8/11/2020,26,73%,53,8,4,131,11,Real Sociedad,Round 9
20,28%,56,16,19,121,18,Alavés,8/11/2020,12,72%,53,12,18,152,16,Levante,Round 9
22,70%,69,11,3,135,9,Athletic Club,8/11/2020,14,30%,40,23,13,103,9,Real Valladolid,Round 9
14,64%,56,14,6,129,19,Real Madrid,8/11/2020,8,36%,45,13,9,110,15,Valencia,Round 9
25,27%,51,10,13,185,16,Cádiz,30/10/20,30,73%,58,10,10,196,13,Eibar,Round 8
9,41%,48,9,16,108,17,Huesca,31/10/20,5,59%,48,16,5,117,18,Real Madrid,Round 8
18,54%,49,19,10,118,14,Sevilla,31/10/20,14,46%,41,17,6,132,4,Athletic Club,Round 8
20,55%,54,10,15,149,15,Atl. Madrid,31/10/20,21,45%,52,12,13,174,12,Osasuna,Round 8
7,79%,61,4,4,145,18,Barcelona,31/10/20,10,21%,45,16,21,121,27,Alavés,Round 8
9,40%,43,12,12,108,12,Elche,1/11/2020,5,60%,47,13,17,97,18,Betis,Round 8
11,54%,54,16,17,135,17,Real Sociedad,1/11/2020,8,46%,50,19,10,138,18,Celta,Round 8
23,71%,41,14,7,124,8,Levante,1/11/2020,15,29%,42,7,5,110,8,Granada,Round 8
27,62%,65,25,7,163,16,Getafe,1/11/2020,37,38%,83,18,12,137,14,Valencia,Round 8
13,40%,54,13,5,133,20,Real Valladolid,2/11/2020,25,60%,65,13,5,130,12,Villarreal,Round 8
6,53%,46,8,16,127,15,Valencia,23/10/20,12,47%,50,15,14,128,23,Elche,Round 7
6,48%,47,13,18,104,22,Real Madrid,24/10/20,8,52%,53,11,9,121,13,Barcelona,Round 7
28,60%,56,10,8,167,14,Athletic Club,24/10/20,38,40%,65,18,12,150,11,Osasuna,Round 7
